Mortes no trânsito,,,Homicídio juvenil,,OR,Homicídios,,,Arborização viária,,,Mortalidade por doenças do aparelho respiratório,,,Remuneração média do emprego formal,,,Favelas (% living in favelas),,,Demanda atendida em creches,,,Gravidez na adolescência,,,Idade média ao morrer,,,Empregos formais por habitante,,,Population change,,,Jobs in the past,
Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor,,Distrito,Valor
Pinheiros,4.59,,Pinheiros,14.03,,Pinheiros,3.06,,Pinheiros,13001,,Pinheiros,12.71,,Pinheiros,4102.81,,Pinheiros,0.081,,Pinheiros,79.65,,Pinheiros,2.65,,Pinheiros,78.7,,Pinheiros,2.09,,Pinheiros,0.965057140231012,,Pinheiros,1.16527696638165
Pirituba,13.11,,Pirituba,28.43,,Pirituba,7.15,,Pirituba,9678,,Pirituba,10.85,,Pirituba,2780.91,,Pirituba,7.32,,Pirituba,87.78,,Pirituba,9.66,,Pirituba,68.1,,Pirituba,0.183,,Pirituba,0.9645412056467,,Pirituba,2.42915309446254
Ponte Rasa,8.88,,Ponte Rasa,26.57,,Ponte Rasa,8.88,,Ponte Rasa,5741,,Ponte Rasa,11.42,,Ponte Rasa,1740.61,,Ponte Rasa,3.6,,Ponte Rasa,92.58,,Ponte Rasa,12.61,,Ponte Rasa,68.1,,Ponte Rasa,0.09,,Ponte Rasa,1.09830853790957,,Ponte Rasa,1.33960995292535
Raposo Tavares,12.63,,Raposo Tavares,21.67,,Raposo Tavares,5.83,,Raposo Tavares,4494,,Raposo Tavares,6.28,,Raposo Tavares,2498.55,,Raposo Tavares,13.38,,Raposo Tavares,84.75,,Raposo Tavares,12.87,,Raposo Tavares,63.3,,Raposo Tavares,0.153,,Raposo Tavares,0.881181039979904,,Raposo Tavares,2.59125
República,9.82,,República,59.33,,República,22.92,,República,1782,,República,11.63,,República,2844,,República,0,,República,79.55,,República,8.61,,República,67.7,,República,1.52,,República,0.770739113580566,,República,1.40776845764377
Rio Pequeno,10.87,,Rio Pequeno,38.13,,Rio Pequeno,8.36,,Rio Pequeno,11083,,Rio Pequeno,6.43,,Rio Pequeno,1989.15,,Rio Pequeno,22.8,,Rio Pequeno,85.24,,Rio Pequeno,11.84,,Rio Pequeno,68.9,,Rio Pequeno,0.131,,Rio Pequeno,0.93262121338563,,Rio Pequeno,2.32091388400703
Sacomã,6.71,,Sacomã,30.28,,Sacomã,7.89,,Sacomã,10947,,Sacomã,8.96,,Sacomã,2453.18,,Sacomã,28.05,,Sacomã,86.61,,Sacomã,11.15,,Sacomã,67.3,,Sacomã,0.091,,Sacomã,0.897501120485622,,Sacomã,2.16101694915254
Santa Cecília,8.98,,Santa Cecília,17.99,,Santa Cecília,6.74,,Santa Cecília,3946,,Santa Cecília,9.32,,Santa Cecília,3004.28,,Santa Cecília,1.04,,Santa Cecília,89.76,,Santa Cecília,6.36,,Santa Cecília,72,,Santa Cecília,1.23,,Santa Cecília,0.789666955113271,,Santa Cecília,1.06772661573405
Santana,6.15,,Santana,15.83,,Santana,5.27,,Santana,9019,,Santana,14.46,,Santana,2173.51,,Santana,0.234,,Santana,82.14,,Santana,5.48,,Santana,75,,Santana,0.631,,Santana,1.10566697119947,,Santana,1.8757239989927
Santo Amaro,11.79,,Santo Amaro,13.18,,Santo Amaro,2.62,,Santo Amaro,16192,,Santo Amaro,12.81,,Santo Amaro,4697.43,,Santo Amaro,0.173,,Santo Amaro,69.82,,Santo Amaro,2.96,,Santo Amaro,77.4,,Santo Amaro,2.22,,Santo Amaro,0.78337215320911,,Santo Amaro,2.91825058184639
São Domingos,11.87,,São Domingos,28.44,,São Domingos,5.94,,São Domingos,8715,,São Domingos,11.06,,São Domingos,2345.12,,São Domingos,13.87,,São Domingos,84.37,,São Domingos,9.46,,São Domingos,67.7,,São Domingos,0.123,,São Domingos,0.985215933013785,,São Domingos,3.46505253540429
São Lucas,8.5,,São Lucas,11.68,,São Lucas,6.38,,São Lucas,6094,,São Lucas,10.51,,São Lucas,2050.55,,São Lucas,4.73,,São Lucas,83.79,,São Lucas,8.87,,São Lucas,70.6,,São Lucas,0.105,,São Lucas,0.989264794632397,,São Lucas,1.65712205775297
São Mateus,9.85,,São Mateus,44.47,,São Mateus,13.79,,São Mateus,12014,,São Mateus,9.82,,São Mateus,1906.5,,São Mateus,6.75,,São Mateus,80.86,,São Mateus,11.9,,São Mateus,64.9,,São Mateus,0.178,,São Mateus,1.02066374452098,,São Mateus,3.74620655898189
São Miguel,10.25,,São Miguel,52.33,,São Miguel,18.22,,São Miguel,3704,,São Miguel,12.3,,São Miguel,1893.56,,São Miguel,2.96,,São Miguel,92.5,,São Miguel,17.03,,São Miguel,66.3,,São Miguel,0.087,,São Miguel,1.11947436796542,,São Miguel,2.0700143472023
São Rafael,11.88,,São Rafael,57.87,,São Rafael,12.54,,São Rafael,6443,,São Rafael,5.29,,São Rafael,1750.59,,São Rafael,11.01,,São Rafael,69.76,,São Rafael,16.2,,São Rafael,59.9,,São Rafael,0.053,,São Rafael,0.817306875575796,,São Rafael,0.00316419612314709
Sapopemba,9.63,,Sapopemba,47.38,,Sapopemba,11.78,,Sapopemba,8257,,Sapopemba,8.84,,Sapopemba,2500.5,,Sapopemba,21.58,,Sapopemba,77.42,,Sapopemba,14.2,,Sapopemba,63.9,,Sapopemba,0.115,,Sapopemba,1.01059872027614,,Sapopemba,2.42540250447227
